Software,Owner,Revenue (Est),What it's for,Notes,Link,Replacement Ease (1=Hard 5=Easy),Stagnation/Dislike (1=Fresh 5=Ancient),Easy x valuable,x revenue opp
Idox Uniform,Idox plc,70,Local Authority Planning & Building Control,"The monopoly in UK planning permission. It manages the ""case"" of a planning application against geospatial data. Hated by architects, essential for councils.",https://www.idoxgroup.com/,1,4,4,280
Seker eFD,Seker (Roper Technologies),4,Funeral Direction Management,"The standard for UK funeral directors. Manages the logistics of the deceased, from hospital collection to burial. Morbidly reliable, very dated interface.",https://seker.co.uk/,4,4,16,64
Teleos,Teleos Systems,1.5,Veterinary Practice Management,"Used by independent vets. It lacks the polish of the corporate consolidator software (Covetrus). Pure transaction and case history logging.",https://www.teleos-systems.co.uk/,3,4,12,18
Gladstone,Gladstone Software,14,Leisure Centre & Gym Management,"The software that runs the turnstiles at Council swimming pools. Incredibly sticky because it controls physical hardware entry. Legacy database feel.",https://www.gladstonesoftware.com/,2,5,10,140
Quill,Quill Pinpoint,6,Legal Cashiering & Case Management,"Unique model: they provide the software AND the outsourced cashier service. Sticky because they handle the heavy regulatory burden of SRA Accounts Rules.",https://www.quill.co.uk/,2,3,6,36
Mandata,Mandata (Tenzing PE),9,Haulage & Transport Management,"The operating system for UK trucking. Manages the ""case"" of a pallet from depot to delivery. Heavy on invoicing and driver timesheets.",https://www.mandata.co.uk/,2,3,6,54
Cohort,Genie Solutions,3,Occupational Health Case Management,"Used by NHS and Police OH departments. Tracks employee health surveillance. Very rigid workflow to ensure medical compliance.",https://www.cohort.co.uk/,3,4,12,36
Ablyss CMS,Access Group (Acquired),3,Care Home Resident Management,"Recently swallowed by Access. Originally a desktop-heavy system for logging daily care notes in nursing homes. Very ""clicky"" interface.",https://www.ablyss.co.uk/,3,4,12,36
Optix,Optix Software,5,Opticians & Optometry,"The dominant independent PMS for UK opticians. Handles the retail (glasses) and the clinical (eye test) in one flow. Very feature-dense.",https://www.optix.co.uk/,2,3,6,30
Mentor (Cash),Mentor Business Systems,2.5,Security & Fire Alarm Field Service,"Known as ""Cash for Windows"". Used by companies installing fire alarms. It is a service management ERP that feels like it hasn't changed since 2005.",https://www.mentorbs.com/,3,5,15,37.5
Celcat,Celcat,4,University Timetabling & Attendance,"The hidden engine of UK universities. Manages the ""case"" of a room booking against complex academic constraints. Niche, complex logic.",https://www.celcat.com/,1,4,4,16
AIMS,Buzzacott,1.5,Grant Management for Charities,"A niche system for grant-making trusts. It tracks the application and payout of funds. Often replaced by Salesforce, but AIMS holds the legacy market.",https://www.aims.software/,4,4,16,24
Pacsoft (MMP),Pacsoft,2,Marina & Harbour Management,"Manages boat moorings, electricity metering, and harbour dues. Niche ""visual"" case management for marina masters. Very specific billing logic.",https://www.pacsoftmmp.com/,3,4,12,24
DPS Spitfire,Access Group (Acquired),8,Criminal & Legal Aid Case Management,"The workhorse for Criminal Legal Aid firms. Connects directly to the government's Legal Aid Agency portals. The UI is a wrapper for government forms.",https://www.dpssoftware.co.uk/,2,4,8,64
Oneserve,Oneserve,5,Social Housing Repairs & Field Service,"Focuses purely on the ""Repairs"" case. Used by contractors fixing boilers. Highly configurable but the back-end setup is arduous.",https://www.oneserve.co.uk/,3,3,9,45
Exact,Software of Excellence (Henry Schein),25,Dental Practice Management,"The absolute giant of UK dentistry. Expensive, old-fashioned, but integrated with NHS dental claiming (UDAs). Hard to leave due to NHS pipework.",https://softwareofexcellence.com/,2,4,8,200
Arb Pro,Arb Pro Software,1,Tree Surgery & Arboriculture,"CRM combined with CAD mapping for tree surgeons. It tracks the ""case"" of a tree protection order. Tiny team, highly specific market.",https://www.arbprosoftware.com/,4,3,12,12
Progressive,Progressive Technology,1,Family Mediation Case Management,"Used by mediators to handle divorce cases. Handles the specific ""Legal Aid for Mediation"" forms. Effectively a specialized form-filler.",https://progressive-tech.co.uk/,5,4,20,20
The Key,Mortgage Brain,12,Mortgage Broker Case Management,"The standard for high street brokers. Manages the client application for a loan. Heavy compliance logic (FCA rules) makes it sticky.",https://www.mortgagebrain.com/,2,4,8,96
Shortcuts,Shortcuts (Constellation),6,Salon & Spa Management,"Now owned by a US giant but very prevalent in UK high streets. Desktop-first heritage. Replaces the appointment book.",https://www.shortcuts.co.uk/,4,3,12,72
